City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port mathurin,-19.6833,63.4167,25.18,74,59,6.26,MU,1700414348
83,jamestown,42.097,-79.2353,8.34,64,100,7.72,US,1700414313
84,klyuchi,52.2667,79.1667,-3.31,56,10,4.3,RU,1700414349
85,east london,-33.0153,27.9116,21.52,94,75,3.23,ZA,1700414349
86,yekaterinoslavka,50.3734,129.1139,-13.6,94,6,2.61,RU,1700414349
87,iqaluit,63.7506,-68.5145,-2.15,79,75,0.0,CA,1700414350
88,port elizabeth,-33.918,25.5701,21.16,89,40,2.06,ZA,1700414076
89,beledweyne,4.7358,45.2036,27.28,72,100,1.27,SO,1700414350
90,caleta de carquin,-11.0925,-77.6267,22.21,72,91,4.15,PE,1700414351
91,i-n-salah,27.1935,2.4607,25.69,17,0,5.19,DZ,1700414351
92,lobujya,27.95,86.8167,-6.7,43,3,0.38,NP,1700414351
93,ilebo,-4.3167,20.5833,22.73,94,99,0.57,CD,1700414351
94,vorgashor,67.5833,63.95,-30.77,100,82,1.15,RU,1700414352
95,quang ngai,15.1167,108.8,21.47,88,96,2.28,VN,1700414352
96,harper,4.375,-7.7169,27.48,79,41,3.27,LR,1700414168
97,anadyr,64.75,177.4833,-2.72,86,75,9.0,RU,1700414352
98,mount gambier,-37.8333,140.7667,12.75,86,85,2.44,AU,1700414353
99,laojunmiao,39.8333,97.7333,1.27,15,6,0.87,CN,1700414353
100,isafjordur,66.0755,-23.124,0.02,86,100,0.0,IS,1700414353
101,coquimbo,-29.9533,-71.3436,16.85,72,40,5.14,CL,1700414271
102,goba,7.0167,39.9833,10.48,95,100,0.54,ET,1700414354
103,kapuskasing,49.4169,-82.4331,-7.95,73,100,4.63,CA,1700414354
104,fort mcmurray,56.7268,-111.381,-2.23,93,40,1.03,CA,1700414120
105,la passe,45.5549,-0.8967,14.13,90,100,3.35,FR,1700414355
106,punta arenas,-53.15,-70.9167,6.06,49,0,4.63,CL,1700414355
107,ola,59.5833,151.2833,-12.42,73,99,6.34,RU,1700414355
108,puerto ayora,-0.7393,-90.3518,25.98,87,67,3.13,EC,1700414356
109,port alfred,-33.5906,26.891,20.66,92,87,2.77,ZA,1700414356
110,es castell,39.8795,4.2854,16.38,94,20,2.06,ES,1700414356
111,poronaysk,49.2167,143.1167,0.47,78,100,1.99,RU,1700414357
112,ribeira grande,38.5167,-28.7,15.22,77,75,12.35,PT,1700414357
113,ust-nera,64.5667,143.2,-29.52,99,97,0.65,RU,1700414357
114,sisimiut,66.9395,-53.6735,-1.19,83,78,11.47,GL,1700414314
115,barra do garcas,-15.89,-52.2567,31.32,55,75,8.23,BR,1700414358
116,codrington,-38.2667,141.9667,12.98,92,80,3.1,AU,1700414358
117,flying fish cove,-10.4217,105.6791,24.82,83,75,4.63,CX,1700414091
118,revda,56.801,59.9303,-7.28,85,98,4.77,RU,1700414359
119,fiambala,-27.6871,-67.6149,28.93,22,0,6.08,AR,1700414359
120,sanya,18.2431,109.505,19.09,88,0,2.0,CN,1700414359
121,gewane,10.1664,40.6453,31.2,44,83,1.87,ET,1700414359
122,margaret river,-33.95,115.0667,13.46,81,88,5.49,AU,1700414360
123,puerto aysen,-45.4,-72.7,7.55,100,100,1.0,CL,1700414173
124,tvoroyri,61.5556,-6.8111,7.33,87,100,14.59,FO,1700414360
125,itaituba,-4.2761,-55.9836,37.09,28,90,2.06,BR,1700414360
126,kodiak,57.79,-152.4072,-4.27,63,40,2.57,US,1700414351
127,achinsk,56.2694,90.4993,-5.45,84,97,8.49,RU,1700414361
128,tandalti,13.0167,31.8667,30.11,19,99,6.0,SD,1700414361
129,chernomorskoye,45.5039,32.6997,4.9,98,100,14.0,UA,1700414362
130,king's lynn,52.7517,0.3952,13.38,90,100,8.54,GB,1700414362
131,atar,20.5169,-13.0499,34.33,10,68,3.02,MR,1700414362
132,san buenaventura,27.0833,-101.5333,21.51,78,40,0.0,MX,1700414363
133,georgetown,5.4112,100.3354,27.23,84,20,2.06,MY,1700414363
134,kerema,-7.9631,145.7785,25.89,88,60,0.49,PG,1700414365
135,progreso,21.2833,-89.6667,29.06,66,44,2.48,MX,1700414366
136,wailua homesteads,22.0669,-159.378,21.44,88,100,7.2,US,1700414367
137,rawson,-43.3002,-65.1023,20.16,24,0,7.72,AR,1700414368
138,enewetak,11.3474,162.3373,28.33,78,68,8.18,MH,1700414370
139,caconda,-13.7333,15.0667,20.5,68,89,3.21,AO,1700414370
140,okeho,8.0333,3.35,30.13,45,91,1.55,NG,1700414370
141,san pedro,14.35,121.0167,26.22,82,20,1.54,PH,1700414370
142,dawei,14.0833,98.2,20.4,77,62,2.26,MM,1700414371
143,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,98,100,7.0,RU,1700414371
144,okhotsk,59.3833,143.3,-14.3,76,4,9.68,RU,1700414371
145,iskateley,67.6803,53.1512,-14.99,97,83,3.58,RU,1700414126
146,roma,43.2128,-75.4557,7.12,91,100,5.66,US,1700414372
147,el calafate,-50.3408,-72.2768,6.51,54,100,1.04,AR,1700414372
